Postcode,Avg asking rent (pm),Avg. household income
SM1 4,"1,673","57,300"
SM2 5,"1,614","59,500"
SM2 6,"1,763","57,200"
SM2 7,,"61,800"
SM3 8,,"61,600"
SM3 9,"2,015","60,300"
SM4 4,,"66,300"
SM4 5,,"52,000"
SM4 6,,"50,100"
SM5 1,,"47,700"
SM5 2,,"57,800"
SM5 3,,"62,200"
SM5 4,,"64,000"
SM6 0,,"56,000"
SM6 7,,"58,500"
SM6 8,,"56,800"
SM6 9,,"52,600"
SM7 1,,"68,600"
SM7 2,"1,562","59,000"
SM7 3,,"64,700"
SW10 0,"4,686","56,300"
SW10 9,"3,308","79,700"
SW11 1,,"86,500"
SW11 2,"2,661","64,400"
SW11 3,"2,762","69,700"
SW11 4,"3,405","66,500"
SW11 5,"2,778","75,700"
SW11 6,,"95,800"
SW12 0,"2,560","76,000"
SW12 8,"2,405","88,600"
SW12 9,"2,522","82,900"
SW13 0,"3,434","74,800"
SW13 8,"3,519","72,000"
SW13 9,"4,412","72,000"
SW14 7,,"76,600"
SW14 8,,"76,500"
SW15 1,"2,646","83,200"
SW15 2,"2,687","85,600"
SW15 3,"2,344","63,200"
SW15 4,,"44,800"
SW15 5,,"57,400"
SW15 6,"2,121","76,500"
SW16 1,"1,835","63,500"
SW16 2,"1,834","62,700"
SW16 3,,"58,200"
SW16 4,"1,505","54,700"
SW16 5,"2,177","59,500"
SW16 6,"1,922","59,600"
SW17 0,"2,300","66,400"
SW17 6,,"80,800"
SW17 7,"2,032","83,300"
SW17 8,"2,844","70,400"
SW17 9,"2,056","64,600"
SW18 1,"2,696","85,400"
SW18 2,"2,921","77,000"
SW18 3,"2,303","79,600"
SW18 4,"2,358","76,600"
SW18 5,,"84,400"
SW19 1,"2,142","82,000"
SW19 2,"1,852","63,800"
SW19 3,"2,168","79,700"
SW19 4,"2,660","83,600"
SW19 5,"4,606","74,000"
SW19 6,"2,201","63,300"
SW19 7,"2,871","83,800"
SW19 8,"2,277","81,400"
SW1A 1,,"68,500"
SW1E 5,,"68,600"
SW1E 6,"5,099","68,600"
SW1H 0,,"68,800"
SW1P 1,"7,374","68,400"
SW1P 2,"3,955","66,900"
SW1P 3,"6,786","68,800"
SW1P 4,"4,556","59,300"
SW1V 1,,"72,600"
SW1V 2,"2,459","69,500"
SW1V 3,"2,658","61,100"
SW1V 4,"2,671","70,300"
SW1W 0,,"67,900"
SW1W 8,"4,161","60,300"
SW1W 9,"4,910","71,300"
SW1X 0,"7,380","85,700"
SW1X 7,"10,759","86,100"
SW1X 8,"9,777","86,000"
SW1X 9,"6,806","85,800"
SW2 1,"2,269","60,800"
SW2 2,"2,032","62,000"
SW2 3,"2,029","58,100"
SW2 4,"2,068","56,900"
SW2 5,"2,259","66,800"
SW20 0,"3,391","75,100"
SW20 8,"2,388","78,600"
SW20 9,"2,479","70,000"
SW3 1,"6,417","85,700"
SW3 2,"5,593","77,400"
SW3 3,"2,696","61,400"
SW3 4,"7,297","69,700"
SW3 5,"4,892","72,300"
SW3 6,"4,435","71,800"
SW4 0,"2,787","73,400"
SW4 6,"2,303","64,500"
SW4 7,"2,572","70,000"
SW4 8,"2,822","68,300"
SW4 9,"2,586","86,000"
SW5 0,"3,234","72,000"
SW5 9,"2,385","63,600"
SW6 1,"2,869","66,200"
SW6 2,"3,219","65,200"
SW6 3,"4,841","74,200"
SW6 4,"2,876","71,000"
SW6 5,"2,967","72,100"
SW6 6,"2,608","80,300"
SW6 7,"2,863","63,000"
SW7 1,"10,661","86,100"
SW7 2,"10,090","76,000"
SW7 3,"5,025","86,600"
SW7 4,"4,588","79,100"
SW7 5,"6,165","90,400"
SW8 1,"2,975","59,900"
SW8 2,"2,929","55,000"
SW8 3,"2,524","67,700"
SW8 4,"2,683","61,300"
SW8 5,,"62,100"
SW9 0,"2,141","56,600"
SW9 6,,"57,800"
SW9 7,,"47,600"
SW9 8,"1,910","59,300"
SW9 9,"2,224","62,400"
TW1 1,"2,252","83,700"
TW1 2,,"79,500"
TW1 3,,"81,100"
TW1 4,,"77,700"
TW10 5,,"75,600"
TW10 6,,"84,900"
TW10 7,,"62,400"
TW11 0,"2,210","69,700"
TW11 8,"1,910","74,000"
TW11 9,"2,542","71,000"
TW12 1,,"63,300"
TW12 2,,"66,900"
TW12 3,,"56,900"
TW13 4,"1,585","53,800"
TW13 5,,"49,800"
TW13 6,,"50,600"
TW13 7,,"53,100"
TW14 0,,"53,000"
TW14 8,,"48,500"
TW14 9,"1,798","51,500"
TW15 1,,"60,700"
TW15 2,"1,637","65,500"
TW15 3,"1,580","68,500"
TW16 5,,"72,500"
TW16 6,,"62,100"
TW16 7,"1,549","61,400"
TW17 0,,"58,900"
TW17 8,,"57,600"
TW17 9,,"57,800"
TW18 1,"1,955","60,900"
TW18 2,"1,740","66,300"
TW18 3,,"62,000"
TW18 4,"1,726","69,200"
TW19 5,,"64,600"
TW19 6,,"58,200"
TW19 7,"1,640","60,300"
TW2 5,,"68,600"
TW2 6,,"64,000"
TW2 7,"2,712","69,100"
TW20 0,"2,249","52,900"
TW20 8,,"63,200"
TW20 9,"2,111","60,200"
TW3 1,"1,597","56,800"
TW3 2,,"60,600"
TW3 3,"1,439","54,500"
TW3 4,,"58,000"
TW4 5,,"55,000"
TW4 6,,"52,900"
TW4 7,,"51,100"
TW5 0,"1,991","52,400"
TW5 9,,"52,100"
TW7 4,"1,938","60,200"
TW7 5,"1,900","64,000"
TW7 6,"1,707","60,500"
TW7 7,,"57,200"
TW8 0,"2,423","57,000"
TW8 8,"2,107","58,000"
TW8 9,"1,889","57,900"
TW9 1,,"79,900"
TW9 2,,"80,600"
TW9 3,"2,040","84,900"
TW9 4,"2,805","76,100"
UB1 1,,"45,900"
UB1 2,"2,495","50,200"
UB1 3,,"47,000"
UB10 0,"1,712","55,800"
UB10 8,"1,884","67,400"
UB10 9,,"64,200"
UB2 4,"1,866","46,800"
UB2 5,,"45,900"
UB3 1,"1,533","53,300"
UB3 2,"1,770","50,500"
UB3 3,,"49,300"
UB3 4,"1,624","53,500"
UB3 5,,"53,700"
UB4 0,,"52,800"
UB4 8,"1,709","54,700"
UB4 9,,"50,000"
UB5 4,,"54,500"
UB5 5,"1,562","50,000"
UB5 6,"1,299","48,800"
UB6 0,"2,126","60,900"
UB6 7,,"57,900"
UB6 8,"1,810","54,700"
UB6 9,,"52,800"
UB7 0,,"57,500"
UB7 7,"1,737","54,100"
UB7 8,,"53,100"
UB7 9,"1,712","54,800"
UB8 1,"1,575","57,100"
UB8 2,"1,493","50,800"
UB8 3,"1,610","53,700"
UB9 4,,"62,500"
UB9 5,,"56,900"
UB9 6,,"54,300"
W10 4,"2,352","52,600"
W10 5,"2,649","45,200"
W10 6,"3,329","51,900"
W11 1,"3,235","54,600"
W11 2,"4,409","66,600"
W11 3,"3,817","71,300"
W11 4,"3,054","56,900"
W12 0,"2,569","52,500"
W12 7,"3,251","49,300"
W12 8,"2,508","56,500"
W12 9,"2,853","59,600"
W13 0,"2,373","58,600"
W13 8,"2,081","70,900"
W13 9,"1,905","69,600"
W14 0,"2,229","64,000"
W14 8,"3,291","64,600"
W14 9,"2,106","61,300"
W1F 0,,"64,300"
W1F 7,"4,583","64,300"
W1G 8,,"88,500"
W1G 9,,"74,700"
W1H 1,"4,236","68,500"
W1H 2,,"68,500"
W1H 4,,"68,500"
W1H 5,"3,210","68,500"
W1H 7,"4,555","68,500"
W1J 5,"3,901","68,600"
W1J 7,"6,658","68,500"
W1K 1,,"85,300"
W1K 2,"5,944","81,600"
W1K 3,"5,147","68,100"
W1K 6,"7,286","88,500"
W1K 7,"7,301","88,500"
W1T 1,,"61,900"
W1T 3,,"64,300"
W1T 4,,"60,300"
W1T 5,,"60,000"
W1T 6,"4,311","60,700"
W1U 1,,"88,500"
W1U 2,,"88,500"
W1U 4,,"88,600"
W1U 5,"4,164","88,800"
W1U 6,"4,544","86,700"
W1U 8,,"78,800"
W1W 5,"5,064","65,000"
W1W 6,"3,870","67,900"
W2 1,"6,144","59,300"
W2 2,"4,517","66,800"
W2 3,"3,967","73,300"
W2 4,"4,068","68,300"
W2 5,"3,143","61,800"
W2 6,"3,360","67,800"
W3 0,"2,886","58,800"
W3 6,"2,144","53,900"
W3 7,"2,150","59,300"
W3 8,"2,299","55,200"
W3 9,"2,040","60,400"
W4 1,"2,313","77,800"
W4 2,"3,098","71,200"
W4 3,"2,958","71,100"
W4 4,"2,541","58,000"
W4 5,"2,434","58,300"
W5 1,"2,116","74,100"
W5 2,"2,426","70,300"
W5 3,"2,037","66,000"
W5 4,"2,029","69,500"
W5 5,"2,618","68,200"
W6 0,"3,472","66,500"
W6 7,"2,436","63,200"
W6 8,"2,559","61,400"
W6 9,"3,400","65,700"
W7 1,,"56,400"
W7 2,,"64,500"
W7 3,"2,161","60,900"
W8 4,"4,477","91,100"
W8 5,"5,922","83,200"
W8 6,"4,739","77,900"
W8 7,"6,135","88,800"
W9 1,"3,131","76,400"
W9 2,"2,418","70,800"
W9 3,"2,130","52,800"
WA1 1,,"38,400"
WA1 2,,"38,700"
WA1 3,,"41,400"
WA1 4,,"45,700"
WA10 1,698,"30,000"
WA10 2,,"32,200"
WA10 3,,"36,800"
WA10 4,,"38,600"
WA10 5,,"51,000"
WA10 6,,"42,300"
WA11 0,,"35,600"
WA11 7,,"39,000"
WA11 8,,"46,300"
WA11 9,,"35,500"
WA12 0,,"39,900"
WA12 8,,"42,400"
WA12 9,827,"38,400"
WA13 0,,"54,200"
WA13 9,,"54,300"
WA14 1,,"55,000"
WA14 2,"1,984","55,200"
WA14 3,,"55,000"
WA14 4,"1,413","55,200"
WA14 5,"1,364","49,100"
WA15 0,,"58,600"
WA15 6,,"55,000"
WA15 7,,"46,400"
WA15 8,"1,679","60,200"
WA15 9,,"62,800"
WA16 0,"1,600","53,200"
WA16 6,,"50,800"
WA16 7,,"51,100"
WA16 8,,"47,800"
WA16 9,,"52,000"
WA2 0,,"39,700"
WA2 7,850,"37,500"
WA2 8,,"38,300"
WA2 9,,"35,300"
WA3 1,,"42,700"
WA3 2,,"44,400"
WA3 3,,"37,500"
WA3 4,,"50,500"
WA3 5,,"48,500"
WA3 6,,"41,500"
WA3 7,,"47,800"
WA4 1,900,"37,600"
WA4 2,,"50,200"
WA4 3,,"52,700"
WA4 4,,"57,500"
WA4 5,,"62,700"
WA4 6,,"46,500"
WA5 0,,"36,800"
WA5 1,,"41,600"
WA5 2,,"44,300"
WA5 3,,"52,600"
WA5 4,,"42,700"
WA5 7,,"59,700"
WA5 8,,"53,200"
WA5 9,,"54,600"
WA6 0,,"49,100"
WA6 6,,"47,600"
WA6 7,,"46,800"
WA6 8,,"49,800"
WA6 9,,"49,800"
WA7 1,778,"44,400"
WA7 2,,"34,300"
WA7 3,,"48,900"
WA7 4,,"40,600"
WA7 5,,"36,100"
WA7 6,,"38,500"
WA8 0,,"32,400"
WA8 3,,"41,000"
WA8 4,,"41,200"
WA8 5,,"48,800"
WA8 6,,"34,000"
WA8 7,,"34,900"
WA8 8,,"36,000"
WA8 9,,"51,800"
WA9 1,,"30,900"
WA9 2,,"32,800"
WA9 3,,"34,600"
WA9 4,,"36,900"
WA9 5,,"38,600"
WC1E 7,,"59,900"
WC1H 8,,"47,000"
WC1H 9,,"48,500"
WC1N 1,,"51,300"
WC1X 0,"4,102","53,900"
WC1X 8,,"50,100"
WC1X 9,"1,915","55,200"
WC2B 5,"3,154","59,800"
WC2E 7,,"68,500"
WC2E 9,,"68,500"
WC2H 7,,"68,500"
WC2H 8,"4,080","55,400"
WC2H 9,,"57,900"
WC2N 4,,"68,500"
WC2N 6,,"68,500"
WD17 1,"1,767","51,900"
WD17 2,"1,553","50,200"
WD17 4,"1,932","64,000"
WD18 0,"1,538","52,100"
WD18 6,,"48,100"
WD18 7,"1,560","57,400"
WD18 8,,"66,000"
WD19 4,,"58,200"
WD19 5,,"53,300"
WD19 6,,"47,900"
WD19 7,,"52,600"
WD23 1,,"55,400"
WD23 2,"2,441","56,900"
WD23 3,,"56,900"
WD23 4,,"54,900"
WD24 4,,"58,300"
WD24 5,"1,572","53,500"
WD24 6,"1,549","53,100"
WD24 7,,"61,300"
WD25 0,,"54,900"
WD25 7,,"52,100"
WD25 8,,"60,900"
WD25 9,,"50,000"
WD3 1,"1,576","70,900"
WD3 3,,"63,900"
WD3 4,,"68,100"
WD3 5,,"67,600"
WD3 7,,"61,100"
WD3 8,,"56,800"
WD3 9,,"52,400"
WD4 8,"1,388","57,000"
WD4 9,,"57,500"
WD5 0,,"55,300"
WD6 1,"1,592","54,200"
WD6 2,,"55,600"
WD6 3,,"63,400"
WD6 4,,"51,600"
WD6 5,,"49,300"
WD7 7,,"63,700"
WD7 8,"3,370","63,800"
WD7 9,,"56,400"
WF1 1,,"38,100"
WF1 2,,"42,500"
WF1 3,,"43,000"
WF1 4,,"36,500"
WF1 5,,"35,000"
WF10 1,,"34,800"
WF10 2,,"38,600"
WF10 3,,"34,900"
WF10 4,,"38,400"
WF10 5,,"36,700"
WF11 0,,"32,700"
WF11 8,,"32,300"
WF11 9,,"42,100"
WF12 0,,"34,100"
WF12 7,,"35,600"
WF12 8,,"34,300"
WF12 9,,"32,100"
WF13 2,,"32,000"
WF13 3,,"30,800"
WF13 4,,"32,300"
WF14 0,,"41,500"
WF14 8,,"41,500"
WF14 9,,"40,700"
WF15 6,,"33,200"
WF15 7,,"38,900"
WF15 8,,"36,900"
WF16 0,,"33,400"
WF16 9,,"32,500"
WF17 0,,"35,600"
WF17 5,,"29,600"
WF17 6,,"34,500"
WF17 7,,"30,500"
WF17 8,772,"35,700"
WF17 9,,"36,700"
WF2 0,,"44,300"
WF2 6,,"60,100"
WF2 7,,"43,100"
WF2 8,,"36,800"
WF2 9,,"39,600"
WF3 1,,"47,500"
WF3 2,,"41,400"
WF3 3,,"48,100"
WF3 4,,"47,400"
WF4 1,,"43,400"
WF4 2,,"38,400"
WF4 3,,"43,500"
WF4 4,,"44,800"
WF4 5,,"42,100"
WF4 6,,"40,300"
WF5 0,,"39,500"
WF5 8,,"39,400"
WF5 9,,"41,000"
WF6 1,,"39,200"
WF6 2,,"43,400"
WF7 5,,"34,100"
WF7 6,,"39,500"
WF7 7,,"50,000"
WF8 1,,"37,700"
WF8 2,,"39,200"
WF8 3,,"45,900"
WF8 4,,"40,200"
WF9 1,,"41,300"
WF9 2,,"35,800"
WF9 3,,"33,100"
WF9 4,,"33,400"
WF9 5,,"33,700"
WN1 2,,"43,300"
WN1 3,,"34,100"
WN2 1,,"42,500"
WN2 2,,"33,500"
WN2 3,773,"36,600"
WN2 4,,"37,600"
WN2 5,,"36,800"
WN3 4,,"33,700"
WN3 5,,"36,400"
WN3 6,,"46,500"
WN4 0,,"39,400"
WN4 8,,"39,800"
WN4 9,,"39,500"
WN5 0,,"33,100"
WN5 7,,"42,900"
WN5 8,,"40,800"
WN5 9,,"32,800"
WN6 0,,"48,000"
WN6 7,848,"36,900"
WN6 8,,"40,600"
WN6 9,,"47,600"
WN7 1,,"34,600"
WN7 2,,"38,200"
WN7 3,,"39,300"
WN7 4,835,"36,300"
WN7 5,,"34,500"
WN8 0,,"43,600"
WN8 6,,"38,000"
WN8 7,,"49,700"
WN8 8,,"36,000"
WN8 9,,"33,000"
WR1 1,842,"42,400"
WR1 2,938,"44,600"
WR1 3,,"41,900"
WR10 1,,"40,400"
WR10 2,,"48,700"
WR10 3,,"47,900"
WR11 1,,"47,400"
WR11 2,,"46,100"
WR11 3,,"46,700"
WR11 4,,"42,700"
WR11 7,,"46,700"
WR11 8,,"47,100"
WR12 7,,"46,800"
WR13 5,,"49,400"
WR13 6,,"48,300"
WR14 1,,"43,200"
WR14 2,,"40,000"
WR14 3,,"43,300"
WR14 4,"1,272","47,300"
WR15 8,,"42,700"
WR2 4,,"45,200"
WR2 5,659,"38,900"
WR2 6,601,"44,000"
WR3 7,,"49,800"
WR3 8,,"45,600"
WR4 0,,"55,100"
WR4 9,,"36,800"
WR5 1,922,"43,300"
WR5 2,,"48,900"
WR5 3,"1,087","51,700"
WR6 5,,"46,600"
WR6 6,,"47,100"
WR7 4,,"51,400"
WR8 0,,"46,300"
WR8 9,,"49,000"
WR9 0,,"45,100"
WR9 7,,"48,900"
WR9 8,,"45,300"
WR9 9,,"39,300"
WS1 1,,"37,300"
WS1 2,,"42,800"
WS1 3,,"34,800"
WS1 4,,"33,100"
WS10 0,,"35,100"
WS10 7,,"35,200"
WS10 8,,"35,100"
WS10 9,,"37,000"
WS11 0,,"35,000"
WS11 1,,"39,400"
WS11 4,,"34,000"
WS11 5,,"35,300"
WS11 6,,"37,400"
WS11 7,,"51,400"
WS11 9,,"39,900"
WS12 0,,"44,300"
WS12 1,,"39,800"
WS12 2,,"42,700"
WS12 3,,"47,300"
WS12 4,,"40,300"
WS13 6,"1,096","45,000"
WS13 7,,"45,000"
WS13 8,,"50,900"
WS14 0,,"52,100"
WS14 9,"1,171","50,400"
WS15 1,,"40,300"
WS15 2,,"41,200"
WS15 3,,"48,000"
WS15 4,,"45,400"
WS2 0,,"35,100"
WS2 7,,"33,400"
WS2 8,,"34,400"
WS2 9,,"33,600"
WS3 1,,"34,900"
WS3 2,,"34,200"
WS3 3,,"35,400"
WS3 4,,"39,200"
WS4 1,,"38,400"
WS4 2,,"41,500"
WS5 3,,"52,100"
WS5 4,,"39,600"
WS6 6,,"39,000"
WS6 7,,"40,300"
WS7 0,,"39,400"
WS7 1,,"40,300"
WS7 2,,"42,200"
WS7 3,,"39,100"
WS7 4,,"37,100"
WS7 9,,"45,200"
WS8 6,,"35,000"
WS8 7,,"39,000"
WS9 0,,"47,400"
WS9 8,,"40,000"
WS9 9,,"42,600"
WV1 2,,"31,700"
WV1 4,,"34,900"
WV10 0,,"35,600"
WV10 6,,"40,600"
WV10 7,,"42,300"
WV10 8,,"36,200"
WV10 9,,"35,500"
WV11 1,,"37,100"
WV11 2,,"35,500"
WV11 3,,"36,100"
WV12 4,,"36,200"
WV12 5,,"38,300"
WV13 1,,"37,400"
WV13 2,,"37,800"
WV13 3,,"35,900"
WV14 0,,"36,400"
WV14 6,,"34,500"
WV14 8,,"35,400"
WV14 9,,"36,900"
WV15 5,,"42,300"
WV15 6,,"43,200"
WV16 4,,"41,200"
WV16 5,,"41,500"
WV16 6,,"39,600"
WV2 2,,"38,000"
WV2 4,,"39,500"
WV3 0,844,"33,300"
WV3 7,,"44,400"
WV3 8,,"43,200"
WV3 9,,"43,100"
WV4 4,,"42,500"
WV4 5,,"46,300"
WV4 6,,"37,600"
WV5 0,,"41,600"
WV5 7,,"45,700"
WV5 8,,"44,100"
WV5 9,,"41,400"
WV6 0,"1,106","36,600"
WV6 7,,"46,000"
WV6 8,"1,188","45,100"
WV6 9,,"45,600"
WV7 3,,"48,900"
WV8 1,,"40,200"
WV8 2,,"51,300"
WV9 5,,"39,300"
